farm_id,region,crop_type,soilMoisture,soil_pH,temperature,rain,humidity,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,co2,light,irrigation_needed
FARM0001,North India,Wheat,35.95,5.99,17.79,75.62,77.03,7.27,,Organic,6.34,2024-01-08,2024-05-09,122,4408.07,SENS0001,2024-03-19,14.970941,82.997689,0.63,Mild,434.54059884177957,371.9117293562738,0
FARM0002,South USA,Soybean,19.74,7.24,30.18,89.91,61.13,5.67,Sprinkler,Inorganic,9.6,2024-02-04,2024-05-26,112,5389.98,SENS0002,2024-04-21,16.613022,70.869009,0.58,,459.33627943827446,681.5841874117577,0
FARM0003,South USA,Wheat,29.32,7.16,27.37,265.43,68.87,8.23,Drip,Mixed,15.26,2024-02-03,2024-06-26,144,2931.16,SENS0003,2024-02-28,19.503156,79.068206,0.8,Mild,350.0935797584998,798.3427399421616,0
FARM0004,Central USA,Maize,17.33,6.03,33.73,212.01,70.46,5.03,Sprinkler,Organic,25.8,2024-02-21,2024-07-04,134,4227.8,SENS0004,2024-05-14,31.071298,85.519998,0.44,,424.9748199213998,218.0156031976357,0
FARM0005,Central USA,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,,Mixed,25.65,2024-02-05,2024-05-20,105,4979.96,SENS0005,2024-04-13,16.56854,81.69172,0.84,Severe,414.3491966287497,738.4195194745591,0
FARM0006,Central USA,Rice,44.91,5.78,24.87,238.95,83.06,4.92,Sprinkler,Mixed,24.0,2024-01-13,2024-05-06,114,4383.55,SENS0006,2024-03-12,23.227859,89.421568,0.82,,466.5660753576542,573.5783201591948,0
FARM0007,North India,Soybean,36.28,7.04,21.8,123.38,47.91,4.02,Manual,Mixed,39.29,2024-03-04,2024-07-27,145,4501.2,SENS0007,2024-07-11,25.224255,73.056785,0.76,,481.21741209625213,784.0295714988927,0
FARM0008,East Africa,Maize,27.1,5.72,22.26,296.33,80.34,5.44,Sprinkler,Mixed,47.61,2024-01-24,2024-05-24,121,5264.09,SENS0008,2024-04-30,23.317654,72.51521,0.7,Mild,302.4313542954774,479.00571051585655,0
FARM0009,Central USA,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,Manual,Inorganic,49.78,2024-03-12,2024-07-08,118,5598.46,SENS0009,2024-05-08,13.025105,74.493947,0.5,Mild,434.80398381175854,708.4327583428242,0
FARM0010,East Africa,Rice,10.25,6.92,16.18,66.85,41.57,5.98,Sprinkler,Inorganic,35.1,2024-01-18,2024-04-25,98,4893.41,SENS0010,2024-03-31,24.405291,74.859945,0.58,Severe,310.3671598239458,237.43644115896635,0
