temperature,humidity,soil_moisture,irrigation_needed
33.22,61.33,17.29,0
22.56,77.01,21.16,0
32.03,73.79,17.18,0
27.72,55.14,34.43,0
21.16,77.29,34.11,0
30.93,89.47,35.4,0
27.04,72.9,18.71,0
23.09,86.58,17.71,0
39.78,88.76,16.97,0
21.55,81.86,29.92,0
23.77,89.24,39.08,0
36.76,68.79,30.87,0
31.03,53.74,5.22,1
28.31,60.75,11.65,0
34.01,51.58,8.65,1
26.9,67.02,10.59,0
36.27,66.36,20.9,0
24.63,51.62,38.35,0
27.56,75.23,20.71,0
39.21,60.68,25.84,0
34.65,60.59,37.43,0
36.38,78.68,8.32,1
25.59,60.48,27.31,0
39.54,70.03,28.12,0
34.42,73.24,5.03,1
25.97,77.53,24.85,0
35.44,73.05,20.04,0
37.88,64.98,39.01,0
29.82,51.88,16.72,0
28.62,59.28,37.45,0
36.92,64.15,10.02,1
20.76,86.05,22.33,0
26.37,68.83,8.67,0
27.39,51.75,26.11,0
20.88,75.56,19.85,0
35.77,69.75,38.35,0
21.62,58.53,23.21,0
30.28,64.08,28.48,0
32.13,55.45,27.27,0
30.96,54.94,15.4,0
24.33,79.2,5.14,0
38.3,70.15,17.44,0
30.45,62.78,27.8,0
22.65,56.31,39.88,0
28.09,50.88,9.45,0
28.31,60.3,22.92,0
29.35,57.62,29.74,0
34.87,55.22,34.05,0
27.87,62.7,8.35,0
35.8,86.58,21.45,0
38.92,84.21,19.12,0
20.16,66.18,5.9,0
21.58,63.13,15.13,0
35.81,68.1,36.1,0
34.72,75.36,20.78,0
37.53,78.95,14.78,1
39.99,70.9,17.68,0
20.21,79.45,10.68,0
21.61,54.79,22.22,0
36.75,79.65,16.04,0
29.78,57.16,22.26,0
37.57,89.85,12.1,1
21.11,65.21,19.48,0
38.97,67.3,6.18,1
34.31,50.87,27.71,0
23.43,53.1,13.12,0
38.22,89.7,18.33,0
24.3,59.4,37.3,0
26.49,85.39,33.94,0
35.62,57.63,6.94,1
24.0,82.54,10.47,0
23.35,80.9,19.49,0
39.79,77.06,20.59,0
34.75,65.84,35.05,0
22.18,63.8,31.07,0
38.85,67.49,11.89,1
37.0,89.7,18.24,0
33.54,76.0,31.59,0
36.31,71.52,22.35,0
28.25,52.75,21.89,0
39.32,87.74,29.0,0
31.04,79.81,18.98,0
36.44,52.29,8.82,1
31.8,60.06,27.97,0
31.04,88.51,17.5,0
20.07,87.88,21.06,0
39.65,57.9,10.2,1
24.82,74.16,21.4,0
33.51,89.98,35.81,0
27.05,75.47,8.54,0
31.46,82.71,24.73,0
20.32,69.63,12.9,0
38.09,76.94,35.99,0
38.63,76.47,18.5,0
21.31,65.75,6.6,0
26.69,51.68,28.35,0
28.05,57.42,12.64,0
30.83,77.78,38.12,0
37.25,62.9,28.71,0
23.04,73.98,13.87,0
33.33,57.71,35.43,0
34.12,65.71,16.69,0
23.22,88.88,23.46,0
31.25,72.71,24.75,0
