temperature,humidity,soilMoisture,light,rain,co2,irrigation_needed
34.64,67.85,9.23,780.08,0,481.15,1
38.46,88.0,11.03,408.77,0,384.71,1
38.31,86.21,7.95,743.84,0,363.86,1
38.05,73.73,6.07,254.87,0,363.16,1
35.39,73.66,5.41,231.22,0,374.18,1
38.32,72.46,5.18,211.04,0,460.12,1
36.34,85.65,11.36,434.67,0,339.52,1
36.65,69.39,7.73,770.98,0,454.26,1
39.33,57.48,9.8,678.44,0,363.78,1
33.54,66.72,6.93,376.24,0,493.48,1
32.55,81.65,7.21,641.0,0,357.76,1
32.67,79.1,9.62,335.28,0,336.83,1
39.21,60.52,5.05,206.54,0,354.24,1
38.26,55.43,11.19,257.24,0,405.54,1
33.79,71.17,9.34,559.33,0,305.46,1
33.35,54.05,8.0,730.98,0,427.1,1
32.42,65.35,8.97,568.36,0,468.44,1
36.36,53.92,7.34,387.77,0,444.17,1
32.88,84.07,8.5,535.88,0,371.52,1
39.06,79.09,6.01,672.8,0,357.65,1
36.47,75.27,11.38,671.56,0,453.29,1
35.41,73.55,5.74,292.47,0,492.55,1
36.53,78.62,8.5,785.07,0,492.24,1
35.09,89.39,5.88,753.15,0,333.31,1
33.95,83.57,6.59,493.39,0,436.83,1
35.94,67.52,7.1,712.09,0,344.57,1
33.46,87.09,8.87,204.92,0,415.47,1
32.34,72.84,11.4,303.1,0,452.36,1
32.52,53.5,11.56,715.66,0,354.16,1
39.9,61.71,9.47,460.43,0,326.01,1
39.58,81.82,7.77,608.59,0,456.55,1
38.48,67.58,6.73,773.47,0,482.48,1
37.07,88.75,6.13,361.92,0,421.61,1
37.86,87.86,11.58,212.49,0,381.75,1
32.25,61.77,10.07,381.76,0,421.05,1
32.07,70.84,5.84,722.24,0,383.54,1
39.99,74.8,10.02,305.03,0,325.83,1
34.51,74.67,8.89,457.11,0,457.04,1
39.89,51.12,10.06,474.02,0,453.09,1
35.33,70.1,7.3,602.62,0,463.85,1
34.94,56.14,5.63,552.93,0,306.42,1
35.16,50.0,7.4,363.1,0,469.55,1
38.02,59.06,11.81,252.57,0,397.08,1
36.91,62.06,11.88,465.75,0,302.38,1
36.51,83.98,7.32,686.53,0,409.01,1
35.1,59.83,10.41,619.92,0,356.9,1
33.58,50.19,7.6,512.43,0,438.44,1
35.74,60.75,7.67,663.06,0,440.03,1
35.35,86.0,11.73,778.97,0,370.06,1
38.94,73.97,8.71,406.83,0,400.54,1
36.66,57.16,10.09,619.72,0,382.91,1
33.72,77.11,9.12,608.31,0,410.93,1
39.38,69.36,8.94,740.28,0,468.91,1
34.55,72.55,8.97,590.27,0,418.41,1
32.57,72.69,5.61,508.32,0,386.85,1
39.77,55.6,6.58,499.04,0,362.72,1
32.01,80.6,11.32,548.4,0,365.49,1
32.96,85.14,10.99,327.9,0,450.59,1
34.95,79.44,8.28,523.6,0,437.24,1
37.98,55.64,11.52,303.07,0,351.15,1
35.13,61.36,9.22,203.04,0,327.21,1
33.9,64.36,9.83,553.71,0,475.19,1
33.18,66.57,7.54,223.45,0,386.08,1
37.56,57.77,6.33,713.66,0,479.84,1
38.45,74.78,11.85,275.82,0,463.68,1
39.83,53.64,6.26,644.4,0,437.19,1
34.74,87.53,6.27,505.16,0,354.67,1
34.09,52.51,8.34,355.32,0,474.98,1
36.55,66.19,9.61,484.16,0,407.35,1
32.49,73.41,11.18,370.57,0,324.15,1
35.99,62.81,10.98,373.79,0,429.14,1
37.62,71.67,9.77,230.15,0,337.79,1
36.52,55.72,10.24,345.7,0,377.16,1
39.48,88.07,9.98,423.68,0,492.59,1
34.21,82.65,6.56,274.37,0,328.46,1
35.91,50.64,7.74,483.57,0,459.39,1
38.93,82.94,9.21,475.06,0,430.8,1
35.61,74.38,6.15,247.08,0,340.73,1
34.03,56.67,10.02,572.66,0,421.63,1
39.86,65.67,6.2,498.75,0,361.45,1
37.35,53.36,7.51,243.11,0,315.86,1
37.02,77.36,8.82,447.28,0,396.55,1
38.86,89.62,10.17,253.93,0,380.84,1
38.39,76.74,8.51,729.68,0,349.47,1
38.93,72.41,11.95,462.54,0,423.95,1
36.73,82.64,8.19,352.72,0,350.3,1
36.0,62.51,5.12,766.91,0,437.74,1
34.15,71.68,9.49,460.4,0,465.92,1
36.24,69.41,8.34,412.62,0,326.8,1
33.1,59.55,8.73,691.31,0,367.86,1
39.94,61.2,8.87,714.28,0,463.5,1
37.74,51.99,9.55,462.78,0,410.46,1
35.07,67.11,7.81,431.14,0,347.56,1
36.59,85.13,11.05,666.35,0,342.86,1
32.47,67.33,7.5,459.42,0,358.87,1
39.57,86.53,9.61,333.04,0,498.17,1
38.74,72.52,10.93,709.59,0,498.69,1
34.16,54.28,6.49,692.35,0,480.88,1
32.51,57.86,6.75,515.21,0,441.38,1
36.17,84.12,9.38,374.69,0,478.29,1
37.59,85.17,9.03,787.81,0,414.1,1
37.76,62.85,7.71,495.61,0,487.81,1
32.79,60.35,5.32,228.34,0,497.18,1
32.83,67.96,10.67,295.58,0,430.18,1
34.77,75.9,10.97,591.78,0,325.24,1
38.96,85.23,7.16,318.78,0,320.04,1
32.45,54.28,6.86,617.68,0,323.55,1
36.11,68.56,11.52,562.34,0,315.67,1
33.78,69.66,8.27,387.09,0,395.22,1
35.55,82.87,9.28,219.89,0,330.47,1
38.29,74.79,6.27,437.11,0,370.1,1
32.82,74.16,10.76,741.34,0,371.09,1
36.88,84.52,6.7,480.79,0,343.32,1
36.36,50.11,8.99,713.04,0,347.12,1
38.48,50.39,6.54,649.48,0,308.55,1
34.84,77.44,8.09,271.48,0,305.49,1
