temperature,humidity,soil_moisture,irrigation_needed
38.97,58.91,31.45,0
32.45,67.74,24.75,0
33.8,60.85,14.35,1
23.63,80.02,36.17,0
33.57,62.5,17.08,0
35.7,62.18,19.39,0
30.25,65.2,6.99,1
28.31,65.77,11.08,0
20.57,60.47,35.24,0
39.66,75.87,26.63,0
20.11,78.27,19.03,0
23.54,52.84,38.12,0
35.23,64.8,17.7,0
31.86,65.6,16.1,0
27.98,55.65,11.54,0
25.42,69.91,27.54,0
36.05,69.65,27.31,0
34.28,61.71,38.21,0
25.21,81.66,37.37,0
26.03,68.09,10.17,0
28.14,77.3,22.89,0
34.01,52.96,28.37,0
39.04,67.82,35.67,0
38.63,87.63,25.99,0
28.38,66.06,16.19,0
20.91,56.65,20.55,0
26.81,70.01,24.6,0
39.24,89.68,14.96,1
26.67,50.23,7.89,0
25.72,67.56,5.93,0
20.62,60.37,21.81,0
36.12,85.83,34.55,0
31.54,54.17,34.87,0
39.62,70.08,6.31,1
37.75,74.06,25.86,0
29.29,57.92,28.12,0
20.31,89.43,39.77,0
31.46,57.06,11.13,1
36.86,50.33,18.2,0
31.69,59.18,14.52,1
37.24,53.41,21.24,0
29.72,72.65,34.02,0
22.84,71.3,9.22,0
22.3,66.03,32.2,0
39.23,84.25,13.24,1
27.36,64.26,28.48,0
36.03,50.45,28.33,0
32.97,86.66,15.62,0
32.12,70.14,38.37,0
37.05,64.93,20.33,0
37.17,64.06,23.77,0
38.96,70.03,8.45,1
28.58,64.68,33.07,0
24.12,53.74,25.32,0
20.77,51.21,37.3,0
30.57,62.09,9.22,1
37.28,65.01,16.94,0
28.52,67.67,26.23,0
20.7,57.43,37.42,0
39.5,65.03,20.53,0
21.37,67.42,16.41,0
23.0,71.54,28.05,0
35.13,50.86,23.12,0
38.86,57.81,27.76,0
35.79,51.76,29.33,0
37.64,82.36,17.09,0
37.95,80.52,10.38,1
39.42,73.68,13.5,1
32.83,52.4,15.86,0
29.36,88.41,7.55,0
37.72,82.14,25.42,0
21.87,72.52,31.95,0
28.57,88.58,21.36,0
24.89,55.44,6.76,0
34.92,88.6,8.77,1
34.42,85.7,24.78,0
24.04,56.82,28.59,0
32.93,62.29,39.61,0
31.38,76.08,34.58,0
35.35,76.2,9.03,1
21.98,67.63,6.17,0
36.91,56.1,6.34,1
37.36,79.03,14.18,1
27.83,73.17,38.96,0
24.92,86.71,12.19,0
39.62,87.96,19.31,0
34.6,73.16,8.58,1
21.66,82.1,9.29,0
35.37,83.58,32.8,0
37.05,50.81,6.32,1
36.43,77.0,30.01,0
39.55,70.4,33.81,0
28.15,65.08,20.45,0
32.49,59.49,18.13,0
38.72,55.59,28.74,0
36.31,66.84,38.0,0
28.33,82.35,16.91,0
23.16,57.69,16.65,0
28.09,74.8,5.29,0
34.55,80.84,15.27,0
30.06,66.23,6.76,1
32.29,74.75,7.39,1
27.16,53.63,6.44,0
31.48,81.81,36.75,0
34.85,69.71,20.12,0
26.8,71.22,30.45,0
25.81,68.13,7.99,0
21.69,53.15,35.72,0
39.99,59.62,30.53,0
25.51,68.57,10.85,0
27.97,53.01,15.76,0
